,time,nodes,edges
690,110.64,700,233.0
691,72.764,700,233.0
692,53.33,700,233.0
693,177.511,700,233.0
694,1316.204,700,233.0
695,1041.168,700,233.0
696,1434.52,700,233.0
697,1440.474,700,233.0
698,1515.673,700,233.0
699,983.476,700,233.0
700,152.298,800,266.0
701,115.374,800,266.0
702,144.821,800,266.0
703,114.656,800,266.0
704,155.728,800,266.0
705,153.639,800,266.0
706,124.839,800,266.0
707,116.688,800,266.0
708,153.004,800,266.0
709,82.473,800,266.0
710,114.625,800,266.0
711,100.512,800,266.0
712,108.375,800,266.0
713,85.612,800,266.0
714,19.779,800,266.0
715,70.403,800,266.0
716,128.319,800,266.0
717,158.605,800,266.0
718,56.852,800,266.0
719,56.442,800,266.0
720,124.718,800,266.0
721,84.521,800,266.0
722,164.193,800,266.0
723,141.563,800,266.0
724,123.487,800,266.0
725,53.495,800,266.0
726,53.084,800,266.0
727,138.373,800,266.0
728,100.928,800,266.0
729,120.951,800,266.0
730,76.193,800,266.0
731,100.696,800,266.0
732,22.649,800,266.0
733,69.862,800,266.0
734,131.982,800,266.0
735,146.073,800,266.0
736,20.327,800,266.0
737,82.392,800,266.0
738,74.566,800,266.0
739,49.36,800,266.0
740,117.806,800,266.0
741,112.528,800,266.0
742,79.045,800,266.0
743,61.75,800,266.0
744,103.681,800,266.0
745,146.591,800,266.0
746,69.535,800,266.0
747,84.428,800,266.0
748,109.634,800,266.0
749,50.062,800,266.0
750,42.971,800,266.0
751,30.801,800,266.0
752,54.629,800,266.0
753,52.124,800,266.0
754,92.164,800,266.0
755,146.157,800,266.0
756,77.767,800,266.0
757,111.417,800,266.0
758,128.474,800,266.0
759,97.734,800,266.0
760,123.378,800,266.0
761,149.623,800,266.0
762,28.779,800,266.0
763,86.868,800,266.0
764,150.57,800,266.0
765,124.296,800,266.0
766,48.4,800,266.0
767,97.553,800,266.0
768,90.486,800,266.0
769,131.064,800,266.0
770,122.401,800,266.0
771,115.25,800,266.0
772,20.007,800,266.0
773,86.825,800,266.0
774,82.187,800,266.0
775,57.793,800,266.0
776,84.26,800,266.0
